Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9733458,Induction of Cell-Cell Fusion,3,20,0.001293326,0.052741983,0.63392559,1,5,3.40E-04,9606,Homo sapiens,ANO6;ANO4;ANO5,,R-HSA-9770187
R-HSA-5578749,Transcriptional regulation by small RNAs,7,80,0.005173306,0.053671295,0.63392559,2,5,3.40E-04,9606,Homo sapiens,NUP214;HIST1H2AJ;HIST1H4I;NUPL2;HIST1H3C;HIST1H2AB,,R-HSA-5578742;R-HSA-5578744
R-HSA-8869496,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,2,9,5.82E-04,0.055330843,0.63392559,2,7,4.75E-04,9606,Homo sapiens,NOP2,,R-HSA-8869543;R-HSA-8869560
R-HSA-5173105,O-linked glycosylation,10,133,0.008600621,0.056396914,0.63392559,20,27,0.001833865,9606,Homo sapiens,ADAMTS16;ADAMTS15;ADAMTS5;ST6GAL1;GALNT13;GALNT1;ADAMTSL3;MUC19;MUC5B;LARGE2,,R-HSA-977071;R-HSA-5694487;R-HSA-5617143;R-HSA-5173005;R-HSA-1964505;R-HSA-913675;R-HSA-5173192;R-HSA-5617138;R-HSA-1964501;R-HSA-914017;R-HSA-914018;R-HSA-914012;R-HSA-914008;R-HSA-914010;R-HSA-981497;R-HSA-914005;R-HSA-981814;R-HSA-914006;R-HSA-6786012;R-HSA-981809
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,7,81,0.005237972,0.056580007,0.63392559,9,24,0.001630103,9606,Homo sapiens,RNF168;NUP214;MDC1;HERC2;NUPL2;SMC3,,R-HSA-3000348;R-HSA-3000399;R-HSA-5228508;R-HSA-3000411;R-HSA-4551661;R-HSA-4551724;R-HSA-3108212;R-HSA-4570553;R-HSA-4570554
R-HSA-5655302,Signaling by FGFR1 in disease,5,49,0.00316865,0.056994797,0.63392559,28,35,0.002377233,9606,Homo sapiens,FLG;STAT1;TRIM24,,R-HSA-2023455;R-HSA-1839065;R-HSA-2023451;R-HSA-5654544;R-HSA-5654545;R-HSA-5655326;R-HSA-5655263;R-HSA-8853325;R-HSA-8853322;R-HSA-1888198;R-HSA-5655240;R-HSA-1839100;R-HSA-1839039;R-HSA-1839098;R-HSA-1839094;R-HSA-1839031;R-HSA-5655290;R-HSA-1982066;R-HSA-1839091;R-HSA-1982065;R-HSA-5655269;R-HSA-1839080;R-HSA-5655266;R-HSA-5655278;R-HSA-2023462;R-HSA-1839078;R-HSA-2023460;R-HSA-2023456
R-HSA-5334118,DNA methylation,4,35,0.002263321,0.06103973,0.63392559,7,7,4.75E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-5334097;R-HSA-5334160;R-HSA-5334099;R-HSA-5334179;R-HSA-5334164;R-HSA-5334151;R-HSA-5334152
R-HSA-1169408,ISG15 antiviral mechanism,7,83,0.005367305,0.062685766,0.63392559,4,16,0.001086735,9606,Homo sapiens,NUP214;EIF4A2;STAT1;NUPL2;EIF4G2,,R-HSA-1678841;R-HSA-1678842;R-HSA-1176059;R-HSA-1169406
R-HSA-5686938,Regulation of TLR by endogenous ligand,4,36,0.002327988,0.0662041,0.63392559,9,12,8.15E-04,9606,Homo sapiens,HMGB1;CD36;APOB;TLR4,,R-HSA-6805943;R-HSA-8870678;R-HSA-6804100;R-HSA-5432849;R-HSA-6804099;R-HSA-8869667;R-HSA-5432852;R-HSA-6805981;R-HSA-5432825
R-HSA-426117,Cation-coupled Chloride cotransporters,2,10,6.47E-04,0.066498194,0.63392559,3,4,2.72E-04,9606,Homo sapiens,SLC12A2;SLC12A3,,R-HSA-426086;R-HSA-426130;R-HSA-9725706
R-HSA-2129379,Molecules associated with elastic fibres,4,37,0.002392654,0.071588154,0.63392559,6,10,6.79E-04,9606,Homo sapiens,EMILIN2;ITGB8;LTBP3,,R-HSA-2161282;R-HSA-2328033;R-HSA-2328048;R-HSA-2395328;R-HSA-2396029;R-HSA-2395320
R-HSA-1474290,Collagen formation,8,104,0.006725297,0.074168742,0.63392559,32,77,0.005229912,9606,Homo sapiens,COL28A1;COL4A1;COL11A2;P3H2;COL21A1;PLOD3;MMP9,,R-HSA-8948232;R-HSA-8944265;R-HSA-8948234;R-HSA-2002460;R-HSA-8944266;R-HSA-2299620;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-1474266;R-HSA-8948230;R-HSA-8948231;R-HSA-1981128;R-HSA-2002440;R-HSA-1980233;R-HSA-1981120;R-HSA-1650808;R-HSA-8944233;R-HSA-2002428;R-HSA-2022073;R-HSA-2089971;R-HSA-1981104;R-HSA-2396234;R-HSA-2559639;R-HSA-2213201;R-HSA-2213200;R-HSA-8948219;R-HSA-8948222;R-HSA-2213207;R-HSA-1981157;R-HSA-8944246;R-HSA-2002401
R-HSA-1296065,Inwardly rectifying K+ channels,4,38,0.00245732,0.077188594,0.63392559,5,7,4.75E-04,9606,Homo sapiens,GABBR2;KCNJ6;ABCC8;KCNJ1,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012;R-HSA-1296024;R-HSA-1296045
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,4,38,0.00245732,0.077188594,0.63392559,2,10,6.79E-04,9606,Homo sapiens,HIST1H2AJ;POT1;HIST1H4I;HIST1H2AB,,R-HSA-9629195;R-HSA-9629373
R-HSA-8985947,Interleukin-9 signaling,2,11,7.11E-04,0.078336921,0.63392559,10,13,8.83E-04,9606,Homo sapiens,STAT1;IL2RG,,R-HSA-8985929;R-HSA-451895;R-HSA-8985914;R-HSA-8985981;R-HSA-8985900;R-HSA-8985966;R-HSA-8985973;R-HSA-8985988;R-HSA-8963734;R-HSA-8985943
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,2,11,7.11E-04,0.078336921,0.63392559,2,5,3.40E-04,9606,Homo sapiens,BCL2L1,,R-HSA-508162;R-HSA-6790025
R-HSA-9673013,Diseases of Telomere Maintenance,1,2,1.29E-04,0.080277819,0.63392559,2,2,1.36E-04,9606,Homo sapiens,RAD54L,,R-HSA-9670619;R-HSA-9670620
R-HSA-9006821,Alternative Lengthening of Telomeres (ALT),1,2,1.29E-04,0.080277819,0.63392559,2,2,1.36E-04,9606,Homo sapiens,RAD54L,,R-HSA-9670619;R-HSA-9670620
R-HSA-9670621,Defective Inhibition of DNA Recombination at Telomere,1,2,1.29E-04,0.080277819,0.63392559,2,2,1.36E-04,9606,Homo sapiens,RAD54L,,R-HSA-9670619;R-HSA-9670620
R-HSA-5632987,Defective Mismatch Repair Associated With PMS2,1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,MLH1,,R-HSA-5632958
R-HSA-5619046,Defective SLC26A4 causes Pendred syndrome (PDS),1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC26A4,,R-HSA-5627870
R-HSA-5579031,Defective ACTH causes obesity and POMCD,1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,POMC,,R-HSA-5603251
R-HSA-5545483,Defective Mismatch Repair Associated With MLH1,1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,MLH1,,R-HSA-5545484
R-HSA-9670615,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations,1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,RAD54L,,R-HSA-9670619
R-HSA-9670613,Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations,1,2,1.29E-04,0.080277819,0.63392559,1,1,6.79E-05,9606,Homo sapiens,RAD54L,,R-HSA-9670620
R-HSA-5083635,Defective B3GALTL causes PpS,4,39,0.002521987,0.083001685,0.63392559,1,1,6.79E-05,9606,Homo sapiens,ADAMTS16;ADAMTS5;ADAMTS15;ADAMTSL3,,R-HSA-6785565
R-HSA-68616,Assembly of the ORC complex at the origin of replication,4,39,0.002521987,0.083001685,0.63392559,2,11,7.47E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-9749197;R-HSA-9749098
R-HSA-5693571,Nonhomologous End-Joining (NHEJ),5,56,0.003621314,0.088493161,0.63392559,4,13,8.83E-04,9606,Homo sapiens,RNF168;MDC1;HERC2;ATM;HIST1H4I,,R-HSA-5686900;R-HSA-5686704;R-HSA-5693599;R-HSA-5686685
R-HSA-9020958,Interleukin-21 signaling,2,12,7.76E-04,0.090773439,0.63392559,4,5,3.40E-04,9606,Homo sapiens,STAT1;IL2RG,,R-HSA-9006873;R-HSA-9006844;R-HSA-9006850;R-HSA-9006870
R-HSA-8851680,Butyrophilin (BTN) family interactions,2,12,7.76E-04,0.090773439,0.63392559,2,8,5.43E-04,9606,Homo sapiens,PPL;XDH,,R-HSA-8851044;R-HSA-8938431
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,4,41,0.002651319,0.095248863,0.63392559,2,2,1.36E-04,9606,Homo sapiens,ADAMTS16;ADAMTS5;ADAMTS15;ADAMTSL3,,R-HSA-5173005;R-HSA-5173192
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,4,41,0.002651319,0.095248863,0.63392559,1,21,0.00142634,9606,Homo sapiens,HIST1H2AJ;POT1;HIST1H4I;HIST1H2AB,,R-HSA-9629372
R-HSA-1474228,Degradation of the extracellular matrix,10,148,0.009570616,0.096769935,0.63392559,47,105,0.007131699,9606,Homo sapiens,ADAMTS16;ADAMTS5;SCUBE3;COL4A1;MMP2;COL11A2;PLG;MMP9;CD44,,R-HSA-1564117;R-HSA-8940554;R-HSA-1602458;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-1604368;R-HSA-1604690;R-HSA-3827958;R-HSA-1602454;R-HSA-2534248;R-HSA-1592278;R-HSA-1564120;R-HSA-1604360;R-HSA-1454791;R-HSA-3788075;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-1592270;R-HSA-1592398;R-HSA-8943959;R-HSA-1604359;R-HSA-1602488;R-HSA-1592314;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1604722;R-HSA-1454781;R-HSA-1592371;R-HSA-1592436;R-HSA-1454843;R-HSA-1592310;R-HSA-2172433;R-HSA-1454822;R-HSA-1604712;R-HSA-1592297;R-HSA-1474213;R-HSA-1454757;R-HSA-2168982;R-HSA-1564143;R-HSA-2485148;R-HSA-1564142;R-HSA-2168923;R-HSA-8943987;R-HSA-2537499
R-HSA-5602498,MyD88 deficiency (TLR2/4),3,26,0.001681324,0.096989353,0.63392559,2,2,1.36E-04,9606,Homo sapiens,HMGB1;CD36;TLR4,,R-HSA-5602383;R-HSA-5602606
R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,2,13,8.41E-04,0.103739053,0.63392559,2,2,1.36E-04,9606,Homo sapiens,CHRNB3;CHRNA7,,R-HSA-629595;R-HSA-629596
R-HSA-9020956,Interleukin-27 signaling,2,13,8.41E-04,0.103739053,0.63392559,10,20,0.001358419,9606,Homo sapiens,STAT1;JAK2,,R-HSA-8950441;R-HSA-8950537;R-HSA-8950733;R-HSA-8950782;R-HSA-8950210;R-HSA-8950340;R-HSA-8950485;R-HSA-448427;R-HSA-8950518;R-HSA-1067646
R-HSA-5603041,IRAK4 deficiency (TLR2/4),3,27,0.001745991,0.105470707,0.63392559,2,2,1.36E-04,9606,Homo sapiens,HMGB1;CD36;TLR4,,R-HSA-5602353;R-HSA-5602672
R-HSA-68867,Assembly of the pre-replicative complex,8,113,0.007307294,0.105756648,0.63392559,4,23,0.001562182,9606,Homo sapiens,REG;HIST1H2AJ;CDC27;PSME2;HIST1H4I;HIST1H3C;HIST1H2AB;ANAPC2,,R-HSA-68825;R-HSA-9749197;R-HSA-68712;R-HSA-9749098
R-HSA-212300,PRC2 methylates histones and DNA,4,43,0.002780652,0.108292175,0.63392559,4,4,2.72E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-212263;R-HSA-212222;R-HSA-212269;R-HSA-212252
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,6,78,0.005043973,0.112249692,0.63392559,4,9,6.11E-04,9606,Homo sapiens,ADAMTS16;ADAMTS15;ADAMTS5;ADAMTSL3;MUC19;MUC5B,,R-HSA-6785524;R-HSA-5096537;R-HSA-5096532;R-HSA-6785565
R-HSA-977068,Termination of O-glycan biosynthesis,3,28,0.001810657,0.114231057,0.63392559,4,4,2.72E-04,9606,Homo sapiens,ST6GAL1;MUC19;MUC5B,,R-HSA-977071;R-HSA-981497;R-HSA-981814;R-HSA-981809
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",3,28,0.001810657,0.114231057,0.63392559,6,11,7.47E-04,9606,Homo sapiens,STAT1;JAK2,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670413;R-HSA-9670412
R-HSA-9669938,Signaling by KIT in disease,3,28,0.001810657,0.114231057,0.63392559,6,26,0.001765944,9606,Homo sapiens,STAT1;JAK2,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670413;R-HSA-9670412
R-HSA-427359,SIRT1 negatively regulates rRNA expression,4,44,0.002845318,0.115099234,0.63392559,3,5,3.40E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-427527;R-HSA-427514;R-HSA-427528
R-HSA-110331,Cleavage of the damaged purine,4,44,0.002845318,0.115099234,0.63392559,2,9,6.11E-04,9606,Homo sapiens,HIST1H2AJ;POT1;HIST1H4I;HIST1H2AB,,R-HSA-9629216;R-HSA-9629483
R-HSA-1221632,Meiotic synapsis,5,61,0.003944646,0.115507836,0.63392559,6,6,4.08E-04,9606,Homo sapiens,HIST1H2AJ;POT1;HIST1H4I;SMC3;HIST1H2AB,,R-HSA-912505;R-HSA-912408;R-HSA-912389;R-HSA-912470;R-HSA-912467;R-HSA-912450
R-HSA-9020558,Interleukin-2 signaling,2,14,9.05E-04,0.117169679,0.63392559,13,19,0.001290498,9606,Homo sapiens,PTK2B;IL2RG,,R-HSA-451942;R-HSA-919404;R-HSA-452100;R-HSA-508292;R-HSA-508451;R-HSA-508513;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-451895;R-HSA-452122;R-HSA-508282;R-HSA-452091
R-HSA-9662834,CD163 mediating an anti-inflammatory response,2,14,9.05E-04,0.117169679,0.63392559,4,9,6.11E-04,9606,Homo sapiens,CD163,,R-HSA-9663426;R-HSA-9662837;R-HSA-9665525;R-HSA-9662781
R-HSA-425381,Bicarbonate transporters,2,14,9.05E-04,0.117169679,0.63392559,1,4,2.72E-04,9606,Homo sapiens,SLC4A1;SLC4A2,,R-HSA-425482
R-HSA-1839128,FGFR4 mutant receptor activation,1,3,1.94E-04,0.117970262,0.63392559,5,5,3.40E-04,9606,Homo sapiens,FGFR4,,R-HSA-2046363;R-HSA-2012086;R-HSA-2012087;R-HSA-2038946;R-HSA-2038944
R-HSA-5619087,Defective SLC12A3 causes Gitelman syndrome (GS),1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC12A3,,R-HSA-5623705
R-HSA-5674404,PTEN Loss of Function in Cancer,1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,TEP1,,R-HSA-2317387
R-HSA-5619050,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC4A1,,R-HSA-5656248
R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC11A2,,R-HSA-5623558
R-HSA-5660686,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG),1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC6A20,,R-HSA-5660694
R-HSA-5619101,Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG),1,3,1.94E-04,0.117970262,0.63392559,1,1,6.79E-05,9606,Homo sapiens,SLC6A20,,R-HSA-5660694
R-HSA-205017,NFG and proNGF binds to p75NTR,1,3,1.94E-04,0.117970262,0.63392559,1,2,1.36E-04,9606,Homo sapiens,SORCS3,,R-HSA-193642
R-HSA-9772573,Late SARS-CoV-2 Infection Events,7,98,0.0063373,0.120716048,0.63392559,6,69,0.004686545,9606,Homo sapiens,ST6GAL1;GALNT1;ANO6;ANO4;ANO5;ZDHHC2;SRPK1,,R-HSA-9694438;R-HSA-9694341;R-HSA-9729330;R-HSA-9697018;R-HSA-9694718;R-HSA-9770187
